Released,Model,Family,Discontinued
23-Feb-05,iPod Mini (2nd gen),iPod Mini,7-Sep-05
7-Sep-05,iPod Nano (1st gen),iPod Nano,25-Sep-06
2-Aug-05,Apple Mighty Mouse,Pointing devices,7-Aug-07
Oct-05,iPod (5th gen),iPod Classic,5-Sep-07
19-Oct-05,Power Macintosh G5 dual core,Power Macintosh,7-Aug-06
,,,
Released,Model,Family,Discontinued
10-Jan-06,iMac (Early 2006),iMac,6-Sep-06
,iPod Radio Remote,iPod accessories,25-Jun-09
14-Feb-06,"MacBook Pro (15"")",MacBook Pro,26-Feb-08
28-Feb-06,Mac Mini Core Solo,Mac Mini,6-Sep-06
,Mac Mini Core Duo,Mac Mini,7-Aug-07
,iPod Hi-Fi,Speakers,5-Sep-07
24-Apr-06,"MacBook Pro (17"")",MacBook Pro,26-Feb-08
16-May-06,MacBook,MacBook,10-Apr-15
13-Jul-06,Nike+iPod,iPod accessories,2014
7-Aug-06,Mac Pro,Mac Pro,8-Jan-08
,Xserve (Intel),Xserve,8-Jan-08
6-Sep-06,iMac (Mid 2006),iMac,7-Aug-07
12-Sep-06,iPod Shuffle (2nd gen),iPod Shuffle,11-Mar-09
25-Sep-06,iPod Nano (2nd gen),iPod Nano,5-Sep-07
,,,
Released,Model,Family,Discontinued
21-Mar-07,Apple TV (1st generation),Apple TV,1-Sep-10
29-Jun-07,iPhone (1st generation) (4 GB),iPhone,5-Sep-07
,iPhone (1st generation) (8 GB),iPhone,11-Jul-08
,iPhone Bluetooth Headset,Headphones,23-Mar-09
7-Aug-07,iMac (Mid 2007),iMac,28-Apr-08
,Apple Mighty Mouse (revised),Pointing devices,5-Jun-17
,Apple Keyboard with Numeric Keypad,Keyboards,5-Jun-17
,Apple Wireless Keyboard (Aluminum),Keyboards,13-Oct-15
,Mac Mini (Mid 2007),Mac Mini,3-Mar-09
5-Sep-07,iPod Nano (3rd gen),iPod Nano,6-Sep-08
,iPod Classic (6th gen),iPod Classic,9-Sep-08
,iPod Touch (1st generation) (8 & 16 GB),iPod Touch,9-Sep-08
,,,
Released,Model,Family,Discontinued
8-Jan-08,Xserve (Early 2008),Xserve,7-Apr-09
,Mac Pro (Early 2008),Mac Pro,3-Mar-09
15-Jan-08,MacBook Air (Early 2008),MacBook Air,14-Oct-08
,USB SuperDrive (previously MacBook Air SuperDrive),Drives,current
5-Feb-08,iPhone (1st generation) (16 GB),iPhone,11-Jul-08
26-Feb-08,MacBook (Early 2008),MacBook,14-Oct-08
,"MacBook Pro (Early 2008) (15"")",MacBook Pro,14-Oct-08
,"MacBook Pro (Early 2008) (17"")",MacBook Pro,6-Jan-09
27-Feb-08,iPod Touch (1st generation) (32 GB),iPod Touch,9-Sep-08
29-Feb-08,Time Capsule (1st gen),"AirPort, drives",3-Mar-09
17-Mar-08,AirPort Express 802.11n (1st gen),AirPort Express,11-Jun-12
28-Apr-08,iMac (Early 2008),iMac,3-Mar-09
11-Jul-08,iPhone 3G (8 GB),iPhone,7-Jun-10
,iPhone 3G (16 GB),iPhone,8-Jun-09
9-Sep-08,iPod Nano (4th gen),iPod Nano,9-Sep-09
,iPod Classic (6th gen) (120 GB),iPod Classic,9-Sep-09
,iPod Touch (2nd generation) (8 GB),iPod Touch,1-Sep-10
,iPod Touch (2nd generation) (16 & 32 GB),iPod Touch,9-Sep-09
,In-Ear Headphones,Headphones,2018
14-Oct-08,MacBook Air (Late 2008),MacBook Air,8-Jun-09
,MacBook (Late 2008) (White),MacBook,29-Jan-09
,MacBook (Late 2008) (Aluminum),MacBook,8-Jun-09
,"MacBook Pro (Late 2008) (15"")",MacBook Pro,8-Jun-09
,"LED Cinema Display (24"")",Displays,27-Jul-10
,,,
Released,Model,Family,Discontinued
6-Jan-09,"MacBook Pro (Early 2009) (17"")",MacBook Pro,8-Jun-09
29-Jan-09,MacBook (Early 2009) (White),MacBook,27-May-09
3-Mar-09,Mac Mini (Early 2009),Mac Mini,20-Oct-09
,iMac (Early 2009),iMac,20-Oct-09
,Mac Pro (Early 2009),Mac Pro,9-Aug-10
,Time Capsule (2nd gen) (500 GB),"AirPort, drives",30-Jul-09
,Time Capsule (2nd gen) (1 TB),"AirPort, drives",31-Mar-10
,AirPort Extreme 802.11n (3rd gen),AirPort,20-Oct-09
,Apple Keyboard (short),Keyboards,20-Oct-09
11-Mar-09,iPod Shuffle (3rd gen) (4 GB),iPod Shuffle,1-Sep-10
7-Apr-09,Xserve (2009),Xserve,31-Jan-11
27-May-09,MacBook (Mid 2009),MacBook,20-Oct-09
8-Jun-09,MacBook Pro (Mid 2009),MacBook Pro,13-Apr-10
,MacBook Air (Mid 2009),MacBook Air,20-Oct-10
19-Jun-09,iPhone 3GS (16 & 32 GB),iPhone,24-Jun-10
30-Jul-09,Time Capsule (2nd gen) (2 TB),"AirPort, drives",31-Mar-10
9-Sep-09,iPod Nano (5th gen),iPod Nano,1-Sep-10
,iPod Classic (6th gen) (160 GB),iPod Classic,9-Sep-14
,iPod Touch (3rd generation),iPod Touch,1-Sep-10
,iPod Shuffle (3rd gen) (2 GB),iPod Shuffle,1-Sep-10
20-Oct-09,iMac (Late 2009),iMac,27-Jul-10
,MacBook (Late 2009),MacBook,18-May-10
,Mac Mini (Late 2009),Mac Mini,15-Jun-10
,Magic Mouse,Pointing devices,13-Oct-15
,AirPort Extreme 802.11n (4th gen),AirPort,21-Jun-11
,,,
Released,Model,Family,Discontinued
31-Mar-10,Time Capsule (3rd gen),"AirPort, drives",21-Jun-11
3-Apr-10,iPad (Wi-Fi),iPad,3-Mar-11
13-Apr-10,MacBook Pro (Mid 2010),MacBook Pro,24-Feb-11
30-Apr-10,iPad (Wi-Fi + 3G),iPad,2-Mar-11
18-May-10,MacBook (Mid 2010),MacBook,20-Jul-11
15-Jun-10,Mac Mini (Mid 2010),Mac Mini,20-Jul-11
24-Jun-10,iPhone 3GS (8 GB),iPhone,12-Sep-12
,iPhone 4 (GSM) (16 & 32 GB),iPhone,4-Oct-11
27-Jul-10,iMac (Mid 2010),iMac,3-May-11
,Magic Trackpad,Pointing devices,13-Oct-15
,Apple Battery Charger,Input Device Accessories,15-Jan-16
,"LED Cinema Display (27"")",Displays,2-Dec-13
9-Aug-10,Mac Pro (Mid 2010),Mac Pro,11-Jun-12
